Gamma_D2_abs_err,Gamma_D2_rec,Gamma_D2_rel_err,Gamma_D2_true,Ptot_W_abs_err,Ptot_W_rec,Ptot_W_rel_err,Ptot_W_true,Qe_cycle_mae_phys,Qe_cycle_rmse_phys,Qi_cycle_mae_phys,Qi_cycle_rmse_phys,Sm_cycle_mae_phys,Sm_cycle_rmse_phys,Sp_cycle_log_mae,Sp_cycle_log_rmse,Sp_cycle_mae_phys,Sp_cycle_rmse_phys,Te_cycle_log_mae,Te_cycle_log_rmse,Te_cycle_mae_phys,Te_cycle_rmse_phys,Ti_cycle_log_mae,Ti_cycle_log_rmse,Ti_cycle_mae_phys,Ti_cycle_rmse_phys,best_restart_fit,cycle_log_mae,cycle_log_rmse,cycle_mae_norm,cycle_mae_phys,cycle_rmse_phys,dna_abs_err,dna_rec,dna_rel_err,dna_true,global_idx,hci_abs_err,hci_rec,hci_rel_err,hci_true,inv_fit_mse_norm,inverse_fields,n_core_abs_err,n_core_rec,n_core_rel_err,n_core_true,ne_cycle_log_mae,ne_cycle_log_rmse,ne_cycle_mae_phys,ne_cycle_rmse_phys,param_mae_abs_mean,param_mre_mean,ua_cycle_mae_phys,ua_cycle_rmse_phys
1.1265619359878475e+21,5.851073821129981e+21,0.23845043778419495,4.724511885142134e+21,629634.0,12949522.0,0.04636768251657486,13579156.0,201.8883463530337,1972.0249633432984,236.5816630354521,687.0134973751524,0.03826151809594637,0.24883863141832593,1.7030461020391001,6.148661923183753,5.381076176741429e+19,3.8706633362744214e+20,0.016240844072798195,0.0251798887630688,7.771357073806323,23.075286659000323,0.02217462726830309,0.028220335698202394,11.546108103498334,20.852398939422557,0.13668730854988098,1.1173081917730137,3.795572298572634,0.14620400965213776,6.923895932927993e+18,1.368619798549163e+20,0.11746156215667725,1.1161943674087524,0.09521420300006866,1.2336559295654297,102,0.02876812219619751,0.7753431797027588,0.0357762947678566,0.8041113018989563,0.13668730854988098,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",9.267236393537923e+19,5.772797389325352e+20,0.13832685351371765,6.699521028679145e+20,0.01471730807862715,0.021231763152367716,1.580405696009644e+18,5.409769927620798e+18,2.4384687405839417e+20,0.11082710325717926,545.5806528622672,825.414718175416
1.1978927616359085e+20,1.0692107057956095e+21,0.10074792057275772,1.1889999819592004e+21,3309892.0,11432108.0,0.2245212346315384,14742000.0,54.02323600648172,381.98678829132047,135.90552404324356,329.08538255996257,0.014801719355888112,0.07183283137678982,2.364379728725042,7.001466653406744,2.538056514292847e+19,2.4375064601118786e+20,0.022726804334102457,0.031336503637544755,7.118864050097361,16.673114591230977,0.030000016130141298,0.04030070589500518,9.45481416687877,17.096683758298653,0.06739751249551773,1.1545884510800177,3.8977562273896993,0.10700569301843643,3.36483947442781e+18,8.619463591561108e+19,0.22256974875926971,0.3765697479248047,1.4452581405639648,0.15399999916553497,167,0.08000051975250244,1.0239994525909424,0.0724642425775528,1.1039999723434448,0.06739751249551773,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",1.8290972303160666e+20,3.1389026834735274e+20,0.36817577481269836,4.967999913789594e+20,0.02653616112584774,0.036158442371012726,1.5381506524940047e+18,4.663116353532647e+18,6.05398007186488e+19,0.44223347306251526,584.3037942289528,932.448221392396
3.478889974655353e+18,1.3298544231673517e+21,0.002609167480841279,1.333333313142007e+21,1496978.0,16096978.0,0.10253273695707321,14600000.0,212.39862184860075,1826.086498470614,222.63944510580853,701.2609337356329,0.022696299080266148,0.16861054030752917,2.2260034748061166,6.724797190652103,4.863766400987984e+19,4.424340709867699e+20,0.03730055955136728,0.0595152526657666,23.514844421537685,54.59764492340486,0.044863500386874415,0.05342867485312279,46.96553089578407,85.42033298367151,0.09858096390962601,1.204459031296013,3.9549888398665334,0.14798367023468018,6.446322353005192e+18,1.5654683901292397e+20,0.04258853197097778,0.34258854389190674,0.14196176826953888,0.30000001192092896,303,0.17342472076416016,1.1734247207641602,0.17342472076416016,1.0,0.09858096390962601,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",1.542168851853502e+20,4.578311442477875e+19,0.7710844278335571,2.0000000400817547e+20,0.03579800516813461,0.05678945658545156,2.932914814161697e+18,1.7532691452837941e+19,3.153915459219646e+19,0.23832257091999054,1535.3393705270894,2317.6528424322564
3.486935233177185e+20,1.0543065354100361e+21,0.2485342174768448,1.4030000587277546e+21,2773008.0,9155008.0,0.43450453877449036,6382000.0,60.073187635018805,449.46781902310835,142.23380982879002,347.2456827027507,0.015315084863052055,0.07447082143212966,2.2314179052875063,6.796480509915884,2.695494147270954e+19,2.5208298493518515e+20,0.03867231856149793,0.05184737779823733,26.607814716120004,57.60220907997299,0.047246857219275996,0.05482936440260432,37.413491148461404,63.128876158832085,0.0676155537366867,1.2089961934958287,3.9765861052790026,0.114042729139328,3.522734293765297e+18,8.914047289282354e+19,0.09503409266471863,0.3369659185409546,0.21998631954193115,0.4320000112056732,313,0.3791537284851074,1.1978462934494019,0.24042721092700958,1.5770000219345093,0.0676155537366867,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",2.1349498751503303e+19,1.572494965844308e+20,0.15709711611270905,1.3589999783292751e+20,0.0252499098248892,0.035357572040615355,1.226932877412837e+18,4.728632637124317e+18,7.400860265462576e+19,0.26010990142822266,671.1525275649989,990.8154597613263
5.6510914796765944e+20,3.381713272220789e+21,0.14318078756332397,3.9468224201884487e+21,109739.0,11163865.0,0.009734154678881168,11273604.0,105.12943845575458,784.9525682185983,209.42548935073606,634.8412062908003,0.031838364658017405,0.22118359391882475,1.318255724143376,5.260896553375071,3.691360199112045e+19,2.7021229282062175e+20,0.01621304666617715,0.024314973421558996,5.775152524978096,15.09169837894977,0.0177622549937329,0.02646641124262146,8.635139748813108,19.18642651216249,0.11716017127037048,1.0270769328937972,3.5661771173931656,0.12903167307376862,4.805741677212291e+18,9.555177201660627e+19,0.15568238496780396,0.9882373213768005,0.1360955536365509,1.1439197063446045,36,0.018530070781707764,0.6256271004676819,0.02876638062298298,0.6441571712493896,0.11716017127037048,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",2.9662733765694403e+20,5.112350133471003e+20,1.3821842670440674,2.1460765809797025e+20,0.014761226446707562,0.022232031436899294,1.5323314265778785e+18,5.14255702258916e+18,1.723473041617951e+20,0.3399922251701355,562.033629364995,862.2225158219445
1.0869268815672666e+20,3.159605590223061e+21,0.035626284778118134,3.0509129020663346e+21,305609.0,11365358.0,0.026185404509305954,11670967.0,84.81914919367708,549.6194997626342,318.21661570617374,851.8868590773833,0.0313688781013593,0.17006139284148122,2.3947073595464867,7.199108344552428,4.752185917586003e+19,3.8231096004042555e+20,0.026555121787517542,0.03774323494725512,26.79990695718582,62.64455004429216,0.02910252161075468,0.03936397916458567,18.49944834288584,41.26192864775072,0.14874404668807983,1.1794282374399552,3.9913542764929293,0.1576373279094696,6.263002275316169e+18,1.3519048133726886e+20,0.1938878297805786,1.4657204151153564,0.11682746559381485,1.659608244895935,22,0.01860402524471283,0.2094576358795166,0.08157454431056976,0.22806166112422943,0.14874404668807983,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",2.6377875047797332e+20,6.920850432366268e+20,0.6158647537231445,4.2830629275865344e+20,0.023197037778260807,0.02833328023581834,2.582159026669321e+18,7.075294099020982e+18,7.449428772694e+19,0.1752156913280487,762.2990615251024,1327.0181483076299
3.3335257413703434e+20,1.3771142124945592e+21,0.319376140832901,1.0437616383575248e+21,273077.0,6534353.0,0.04011455178260803,6807430.0,74.00493801900215,426.14401538550453,125.06760555973575,409.86379048450755,0.021992212478509368,0.12572865248393433,1.763160743810201,6.003142421272666,3.181113844113924e+19,2.0109970407345593e+20,0.022204161632170427,0.028878089562722347,8.124890445771557,19.06518542579724,0.027049370353756635,0.03455803289015721,13.472628350239386,26.728683750661308,0.09389251470565796,1.1126083105595335,3.772660209995198,0.1238173171877861,4.2274643384275456e+18,7.114354574268064e+19,0.23055541515350342,0.9560440182685852,0.3177933096885681,0.7254886031150818,314,0.24709272384643555,1.498028039932251,0.19752638041973114,1.2509353160858154,0.09389251470565796,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",3.961155126002555e+19,7.520862195971072e+20,0.05559713765978813,7.124746683370816e+20,0.02246408018169009,0.030418609729930136,2.0085762662811233e+18,7.08108948507187e+18,7.459282156097477e+19,0.18608149886131287,962.0353359869067,1275.6610044477184
4.405438043992422e+20,2.484493488082087e+21,0.21553553640842438,2.0439496836828449e+21,150502.0,5195281.0,0.02815340645611286,5345783.0,92.4756722393291,589.7635563224784,96.31376432698997,334.98094522750085,0.027201201120779214,0.17555046818937356,2.442956421277053,7.2803689967533,3.5041172030198243e+19,2.1138587229238932e+20,0.016989582387452646,0.02475907594187665,3.36773312010946,6.862916985814338,0.027071268020668386,0.032505306329472385,7.564081834842214,12.381295780792053,0.1035986989736557,1.1244785522078877,3.9143103281803047,0.1153964176774025,4.63527394366651e+18,7.478272864931809e+19,0.009864091873168945,1.029076099395752,0.009494379162788391,1.038940191268921,14,0.019478321075439453,1.2058123350143433,0.01641891896724701,1.1863340139389038,0.1035986989736557,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",2.0326243972574033e+20,4.9426471107935443e+20,0.2914043366909027,6.975271508050948e+20,0.014844619339949405,0.020200955505782586,2.041019519133832e+18,7.460900018497372e+18,1.287612470657779e+20,0.11220131814479828,444.38090327004915,715.0490401802423
2.784448985863658e+20,2.0548150399963413e+21,0.1193372830748558,2.333259938582707e+21,192221.0,11560754.0,0.016908161342144012,11368533.0,90.89418000433369,663.6995626802458,181.6561191163901,551.3715316341022,0.030030418232026915,0.186604758414032,1.534328020933201,5.625167554742711,3.4452333465654632e+19,2.59197911161973e+20,0.016812558663868857,0.02538576519274099,4.301880852448514,10.606850213610713,0.016062759727479288,0.024548715690114017,5.976737238997008,12.706384815786718,0.10418450832366943,1.056192590594511,3.6432841676882743,0.12259060889482498,4.4274197312912983e+18,9.165006313594916e+19,0.0881650447845459,1.7327754497528076,0.05360846966505051,1.6446104049682617,396,0.003839254379272461,1.2129420042037964,0.003155254293233156,1.2167812585830688,0.10418450832366943,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",1.4894607273239668e+20,4.509979609561364e+20,0.4931142032146454,3.020518882237397e+20,0.009908159240605332,0.01485179497397089,9.670243846757559e+17,3.783573952978696e+18,8.54781977821897e+19,0.13722467422485352,505.94280406333377,759.6842819580311
1.326310090260611e+20,3.34332655932192e+21,0.03815668076276779,3.475957568347981e+21,322309.0,11284061.0,0.02940305508673191,10961752.0,87.79992081934647,594.8621537116213,185.70787666238445,734.0271642501932,0.036423687268573056,0.2736906277942069,2.324184423163887,7.00406401035174,3.459593665079676e+19,2.478602982353069e+20,0.01587946954839999,0.021858866886424598,6.199553461161983,15.3117533798967,0.013464230309038953,0.018955714847654265,7.4325970453226935,17.2048197858454,0.10818231850862503,1.2416984234184916,4.0460676387461225,0.11712821573019028,4.4758269534874665e+18,8.765005730633313e+19,0.0180208683013916,0.39566320180892944,0.0435619093477726,0.41368407011032104,272,0.01809251308441162,1.3453266620635986,0.013269956223666668,1.3634191751480103,0.10818231850862503,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",1.1715393150976524e+19,2.0075178848659754e+20,0.055139776319265366,2.1246718163757407e+20,0.016027318099196327,0.023273764397577165,1.2106789771029668e+18,5.053011491435701e+18,2.8869280875212177e+19,0.03590627759695053,514.3313125156359,760.2930685161266
3.8452521748424085e+20,5.355879398202552e+21,0.07734818756580353,4.971354180718311e+21,220930.0,4781634.5,0.04844207689166069,4560704.5,97.43349038901941,494.956130206612,146.33975700784893,581.979435839952,0.04360510381398368,0.24585398759630725,3.5257731311975298,8.812287900437141,4.626794500139856e+19,2.54299816556987e+20,0.030933473312161428,0.04075604317629683,8.14689275808065,20.370438785108565,0.04048978025183392,0.051153041052545825,8.311281504409196,18.62684987944442,0.1538773775100708,1.2955534776525095,4.342922880276005,0.1522829383611679,6.225847774476961e+18,8.99665952545108e+19,0.25905048847198486,1.3254013061523438,0.16349534690380096,1.5844517946243286,113,0.06457698345184326,0.5462291836738586,0.10572418570518494,0.6108061671257019,0.1538773775100708,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",1.2646853662344636e+20,5.895769584525587e+20,0.2730862498283386,4.6310842182911237e+20,0.024549550119051956,0.031329181843530875,3.538837194417122e+18,9.138347366700963e+18,1.0219875258075605e+20,0.13361921906471252,684.7789706332272,1051.1239574543797
1.7632828216303252e+21,6.199622032990973e+21,0.39746347069740295,4.436339211360648e+21,111202.5,6562980.5,0.016661589965224266,6674183.0,166.40704232450102,1278.2440144184507,164.497144520792,535.8596956085787,0.055937531508738224,0.35513666184464215,3.777451382012895,9.366517627539437,6.930621824047107e+19,4.715347348467051e+20,0.03201914955686507,0.04087427325770812,14.730055426633513,35.04065107497563,0.04595806054443186,0.053835116685036,21.97673273056836,42.803817502371366,0.19246873259544373,1.4207668713243542,4.6133280058860775,0.1702950894832611,9.40120606459505e+18,1.668791329130444e+20,0.015352129936218262,1.0522578954696655,0.014379904605448246,1.0676100254058838,17,0.0033085644245147705,0.480871319770813,0.006833337247371674,0.48417988419532776,0.19246873259544373,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",3.8645613582447595e+20,6.079248696250707e+20,1.744969129562378,2.2146875139278085e+20,0.0292251506209707,0.040788841995645496,5.903430276289323e+18,2.1074957829703578e+19,4.299477844540858e+20,0.43606147170066833,687.0322649564415,1034.108562797227
6.844245610079579e+20,2.0249183160825073e+21,0.5105764865875244,1.3404937550745494e+21,221759.0,3430781.5,0.06910484284162521,3209022.5,93.34098908747907,489.67507941920695,84.08426023980722,246.33809587313883,0.02431890939334625,0.1308404341830179,3.915280384149689,9.480803193772006,4.003458632424251e+19,3.115799025599321e+20,0.0399107622784013,0.05127319906273674,17.735970763181655,42.397919026671865,0.04247434194479841,0.053116209117025026,13.925941847064626,30.743373011118432,0.11675211787223816,1.3550882411642882,4.524397474970257,0.13738644123077393,5.367234175627678e+18,1.1020328912371316e+20,0.04137676954269409,0.44579190015792847,0.1023126170039177,0.4044151306152344,139,0.09721451997756958,0.41029906272888184,0.1915505826473236,0.5075135827064514,0.11675211787223816,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",1.9062048372799046e+20,9.071401585866367e+20,0.26603662967681885,7.165196748586463e+20,0.03141391803017397,0.04069174508356628,2.903287080778897e+18,8.722602261994471e+18,1.7500900191031525e+20,0.22791624069213867,718.112045972029,1065.861335665099
9.212577471497922e+19,1.7568414075257902e+21,0.055340249091386795,1.664715632810811e+21,352700.0,11167944.0,0.03261137753725052,10815244.0,117.8961891511399,870.5401401318622,161.5710627092479,498.46867926828804,0.02647308171298506,0.16832986861307023,0.710041599917357,3.5738528215110863,3.1487271394931032e+19,2.4150542671676565e+20,0.016934599258409816,0.025246890511025973,3.240587237022551,7.651457063350968,0.01369100240775395,0.020342917251133283,4.7077035597901835,8.351477893107838,0.09134363383054733,0.9629328792029217,3.3190176795835717,0.11752340197563171,4.077276863829857e+18,8.540231035332652e+19,0.0222395658493042,1.1514017581939697,0.018949201330542564,1.173641324043274,163,0.22921180725097656,2.0749001502990723,0.12418770790100098,1.8456883430480957,0.09134363383054733,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",1.1474557883247074e+20,1.99320153978489e+20,0.3653552830219269,3.1406573281095975e+20,0.01497490948078285,0.0221485498438551,1.130943515707818e+18,4.85445937671356e+18,4.137427070948999e+19,0.11928876489400864,610.9789021903377,905.5049439383354
6.543420636094949e+19,3.4929364204181447e+21,0.019090929999947548,3.427502214057195e+21,156260.5,5773302.0,0.026352787390351295,5929562.5,86.55614430365685,510.8333146805134,126.25161692957535,439.5086378815429,0.0315640843503688,0.18024415000196442,2.444226872677648,7.435844352911575,4.177878628589398e+19,2.979352798251757e+20,0.019442418449041998,0.028488285458404428,5.224215554088412,10.901705216761673,0.036480046669607226,0.04370492024489982,12.247710545978794,20.29468298998962,0.13750706613063812,1.1674332745648284,4.022137592266124,0.13005858659744263,5.478469164247933e+18,1.0537724602761993e+20,0.04949390888214111,0.7264400124549866,0.06378623843193054,0.7759339213371277,300,0.002122342586517334,0.7031019330024719,0.003027681028470397,0.7009795904159546,0.13750706613063812,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",1.682136682069387e+20,3.791918648098994e+20,0.3072926104068756,5.474055330168381e+20,0.01376454657371127,0.020253949786111173,2.0489670280894802e+18,8.335519085130764e+18,4.672957403396833e+19,0.08391004800796509,516.163317653734,846.0092774299209
3.1409412659923544e+20,7.049058765820763e+20,0.30823761224746704,1.0190000031813117e+21,3147059.0,6629059.0,0.9038078784942627,3482000.0,125.61325888174295,1091.216302245983,171.61569407331146,477.2750170506422,0.019938473209264687,0.12535728784476857,2.2798212470839574,6.885942404337661,4.4352087644434825e+19,3.769496046764957e+20,0.07336731837250138,0.09706182585223588,47.97851973417161,106.31311989369763,0.08194557086030384,0.09471190962338491,59.93644157082577,104.00690576999834,0.08883773535490036,1.1408471109482343,3.8344394428119806,0.1638018935918808,6.392083209134583e+18,1.3347855099046488e+20,0.7737548351287842,1.0142451524734497,0.43274879455566406,1.7879999876022339,309,0.48746025562286377,1.341539740562439,0.26651737093925476,1.8289999961853027,0.08883773535490036,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",1.182740259952132e+19,3.4992740406250177e+20,0.03498196601867676,3.3810000146298044e+20,0.14644936852386892,0.2008722993985965,6.784578028641831e+18,2.1004383598351258e+19,6.518430496014205e+19,0.3892587125301361,804.7072539075165,1190.932797472475
4.5977466738932344e+20,1.5351155463339702e+21,0.42756178975105286,1.0753408789446467e+21,132008.5,7527446.0,0.017849991098046303,7395437.5,109.1928343868025,714.4910460883611,115.45483831991449,355.7485127966934,0.02199190834564682,0.11283827904038704,1.2129902512596975,5.021203827559178,3.181542652351209e+19,2.158068256031143e+20,0.01632496371689641,0.02392540060628043,3.281236453982015,8.475209379643331,0.020026389429751504,0.028311226307270156,4.033492000899926,6.83688256990109,0.08634579926729202,1.0929019548389625,3.657888266684945,0.11842023581266403,4.2636164477593615e+18,7.634048137064597e+19,0.2638465166091919,1.2864515781402588,0.25801408290863037,1.022605061531067,428,0.20761215686798096,2.1149842739105225,0.1088472232222557,1.9073721170425415,0.08634579926729202,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",4.132960414912322e+19,6.322956767961211e+20,0.06135399639606476,6.736252809452443e+20,0.022216569163355085,0.03138463790000107,2.2935050585628093e+18,7.096956412615988e+18,1.0022085430768933e+20,0.17472541332244873,585.9070651441755,812.4601019344158
4.260157549512984e+20,3.333523911782995e+21,0.11331593245267868,3.759539666734293e+21,41331.0,8763245.0,0.0047387536615133286,8721914.0,107.99074456160932,785.8475727781199,162.1496843420565,559.0516593866652,0.037327224699790766,0.2421425216656508,1.6136963104617146,5.956256836315979,3.4521850539828527e+19,2.5512872102278018e+20,0.015434499724579111,0.023179245169336223,7.577510663080466,19.10825106655567,0.019677206747027075,0.027781018915638916,7.498948958731529,16.4733587555142,0.1276165097951889,1.0320712296283534,3.6462073995650366,0.12774193286895752,4.5686780635423104e+18,9.022891039319509e+19,0.0911797285079956,0.946244478225708,0.08789049834012985,1.0374242067337036,333,0.06461483240127563,0.6850706338882446,0.08618925511837006,0.7496854662895203,0.1276165097951889,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",1.876348258734624e+20,4.250052597849071e+20,0.7904726266860962,2.3737043391144473e+20,0.014882204514286002,0.020335933126047326,2.0275739685099584e+18,6.275816697944984e+18,1.2273010912807774e+20,0.21652141213417053,619.236836664096,858.8432402326149
1.6190440660396933e+20,1.809698326764889e+21,0.09825525432825089,1.6477939201609197e+21,683971.0,11213034.0,0.0649602934718132,10529063.0,179.5348919571499,2137.0176702208323,225.87551547196418,548.0905811038117,0.023311467046296764,0.151695796529866,1.438579472278756,5.432563808732644,3.24090333393095e+19,3.056917442218895e+20,0.03240971487364658,0.04350898714069363,40.06487792842575,89.19154094194631,0.030416885233728548,0.03796834987838315,34.27216472780233,70.26152896986089,0.10626377165317535,1.0062284896198388,3.529678982822848,0.13723595440387726,4.3163279367921004e+18,1.0809849234598391e+20,0.1281854510307312,1.0982255935668945,0.1321444809436798,0.9700401425361633,466,0.04791003465652466,0.41203629970550537,0.10416439920663834,0.45994633436203003,0.10626377165317535,"Te,Ti,ne,ua,Sp,Qe,Qi,Sm",4.717891804796132e+19,2.3641762352309312e+20,0.1663592904806137,2.8359654157105444e+20,0.02366424603730894,0.03137172578021044,2.1215901550272983e+18,5.90168572332108e+18,4.181666580999543e+19,0.11317674070596695,761.1606762054653,1153.0279598863806
